RecordId,Timestamp,socket0-package-power
823,11:21:56:741,   35.88
824,11:21:56:841,   35.73
825,11:21:56:941,   35.79
826,11:21:57:041,   35.35
827,11:21:57:141,   35.97
828,11:21:57:241,   35.77
829,11:21:57:341,   35.80
830,11:21:57:441,   36.19
831,11:21:57:541,   37.94
832,11:21:57:641,   35.52
833,11:21:57:741,   35.80
834,11:21:57:841,   35.71
835,11:21:57:941,   35.78
836,11:21:58:041,   35.69
837,11:21:58:141,   35.62
838,11:21:58:241,   35.73
839,11:21:58:341,   35.78
840,11:21:58:441,   35.76
841,11:21:58:541,   36.76
842,11:21:58:641,   35.58
843,11:21:58:741,   35.86
844,11:21:58:841,   36.22
845,11:21:58:941,   35.82
846,11:21:59:041,   35.74
847,11:21:59:141,   35.65
848,11:21:59:241,   35.76
849,11:21:59:341,   35.79
850,11:21:59:441,   35.71
851,11:21:59:541,   41.37
852,11:21:59:641,   63.64
853,11:21:59:741,   62.62
854,11:21:59:841,   63.15
855,11:21:59:941,   63.15
856,11:22:0:041,   63.69
857,11:22:0:141,   63.87
858,11:22:0:241,   62.96
859,11:22:0:341,   63.60
860,11:22:0:441,   63.65
861,11:22:0:541,   63.71
862,11:22:0:641,   64.01
863,11:22:0:741,   63.10
864,11:22:0:841,   63.66
865,11:22:0:941,   63.24
866,11:22:1:041,   63.22
867,11:22:1:141,   63.40
868,11:22:1:241,   62.91
869,11:22:1:341,   63.21
870,11:22:1:441,   63.25
871,11:22:1:541,   63.36
872,11:22:1:641,   63.51
873,11:22:1:741,   62.70
874,11:22:1:841,   63.27
875,11:22:1:941,   63.58
876,11:22:2:041,   63.33
877,11:22:2:141,   63.34
878,11:22:2:241,   63.30
879,11:22:2:341,   62.69
880,11:22:2:441,   63.36
881,11:22:2:541,   63.48
882,11:22:2:641,   63.44
883,11:22:2:741,   63.31
884,11:22:2:841,   62.62
885,11:22:2:941,   63.31
886,11:22:3:041,   63.26
887,11:22:3:141,   63.39
888,11:22:3:241,   63.25
889,11:22:3:341,   62.60
890,11:22:3:441,   63.20
891,11:22:3:541,   63.35
892,11:22:3:641,   63.43
893,11:22:3:741,   63.38
894,11:22:3:841,   62.64
895,11:22:3:941,   63.28
896,11:22:4:041,   63.20
897,11:22:4:141,   63.36
